###Total Requests###,,,,,,,,,,
Type,Requests,% of Total,,,,,,,,
Blocked,0,0,,,,,,,,
Allowed,"3,130,922",100,,,,,,,,
,,,,,,,,,,
###Top 10 Users by Allowed Requests###,,,,,,,,,,
User,Requests,% of Total,,,,,,,,
10.8.8.169,"617,886",39.03,,,,,,,,
user1 ,"218,251",13.79,,,,,,,,
10.8.7.2,"172,290",10.88,,,,,,,,
10.8.8.245,"138,775",8.77,,,,,,,,
10.8.168.10,"136,952",8.65,,,,,,,,
10.8.8.50,"101,267",6.4,,,,,,,,
10.8.8.155,"53,147",3.36,,,,,,,,
10.8.8.152,"51,752",3.27,,,,,,,,
10.8.8.128,"48,175",3.04,,,,,,,,
10.8.8.97,"44,751",2.83,,,,,,,,
,,,,,,,,,,
###Top 10 Users by Blocked Requests###,,,,,,,,,,
No matching log data for this report,,,,,,,,,,
,,,,,,,,,,
###Requests Summary###,,,,,,,,,,
Time Stamp,Allowed Request,Blocked Request,,,,,,,,
1675911600,799,1080,0,317,318,3659,795,537,56,1266
1675915200,820,1073,0,321,327,3718,820,526,47,1305
1675918800,819,1002,0,328,333,3669,837,602,62,1329
1675922400,744,1104,487,333,322,3707,758,549,59,1294
1675926000,818,1059,751,315,341,3698,826,552,59,1297
1675929600,789,1056,752,324,323,3705,791,579,62,1229
1675933200,785,1026,749,308,315,3691,802,574,52,1106
1675936800,810,1003,752,325,335,3678,806,734,73,1152
1675940400,769,1045,754,333,321,3705,793,665,72,1224
1675944000,788,1014,748,321,331,3693,790,625,62,1203
1675947600,815,1021,750,332,319,3707,807,689,54,1266
1675951200,822,1001,748,318,318,3702,832,628,55,1229
1675954800,815,975,750,322,323,3691,824,578,82,1274
1675958400,814,1002,750,316,313,3697,832,638,42,1292
1675962000,810,982,750,310,307,3695,818,604,46,1189
1675965600,810,975,751,323,325,3711,824,588,52,1250
1675969200,808,988,754,332,333,3701,832,564,60,1302
1675972800,814,974,750,322,310,3693,832,549,55,1295
1675976400,814,999,755,321,318,3695,832,589,57,1294
1675980000,818,1016,750,317,325,3708,824,627,45,1298
1675983600,818,1052,750,325,320,3700,837,681,62,1320
1675987200,822,991,750,336,329,3693,837,602,38,1305
1675990800,819,1016,750,327,320,3680,832,561,61,1292
1675994400,814,1012,751,326,331,3626,837,555,70,1259
1675998000,826,1053,756,317,327,3646,814,581,69,1306
1676001600,814,1068,808,314,318,3752,837,571,62,1304
1676005200,817,1166,752,316,320,3726,837,595,45,1328
1676008800,816,1049,754,325,319,3716,829,594,54,1325
1676012400,818,1027,755,319,330,3721,824,665,76,1335
1676016000,820,1000,1685,323,316,3710,829,529,62,1270
1676019600,815,1040,1023,308,311,3707,832,702,48,1167
1676023200,813,1022,30,325,331,3681,829,602,55,1212
1676026800,828,973,30,327,322,3678,832,575,56,1239
1676030400,814,994,33,327,326,3674,824,610,62,1253
1676034000,823,970,30,324,327,3672,824,577,49,1264
1676037600,818,985,30,319,322,3673,824,565,68,1321
1676041200,814,993,28,332,316,3688,824,589,66,1333
1676044800,828,961,30,331,323,3687,824,547,60,1298
1676048400,816,975,35,313,323,3669,830,549,55,1220
1676052000,828,970,36,331,330,3674,829,555,54,1317
1676055600,819,988,30,323,326,3684,828,572,58,1305
1676059200,814,964,30,321,321,3685,833,539,64,1332
1676062800,814,965,35,313,322,3687,829,540,63,1299
1676066400,814,970,35,319,308,3672,837,529,52,1279
1676070000,814,999,30,323,321,3687,837,575,52,1298
1676073600,819,1005,26,325,321,3675,829,611,67,1312
1676077200,823,985,34,328,325,3656,828,592,49,1333
1676080800,819,966,30,347,318,3639,824,536,67,1323
1676084400,820,977,34,314,307,3650,828,580,60,1340
1676088000,814,1003,35,323,332,3620,823,667,64,1344
1676091600,814,982,30,320,320,3640,824,549,57,1344
1676095200,814,958,35,318,317,3668,832,545,54,1370
1676098800,827,1005,30,322,323,3651,824,626,54,1389
1676102400,816,1016,30,324,318,3666,836,628,66,1375
1676106000,824,999,28,311,312,3637,830,688,52,1325
1676109600,819,992,34,326,335,3676,828,584,50,1378
1676113200,820,1023,30,320,334,3671,832,641,53,1360
1676116800,815,988,30,322,316,3661,829,602,52,1331
1676120400,823,990,30,324,323,3667,826,616,52,1343
1676124000,819,1000,30,315,323,3675,823,607,48,1346
1676127600,819,965,37,324,321,3675,828,571,47,1357
1676131200,822,985,35,314,323,3664,828,584,53,1347
1676134800,814,975,30,322,313,3664,814,570,64,1370
1676138400,814,990,30,325,320,3668,828,705,52,1345
1676142000,819,979,36,322,326,3667,824,582,54,1374
1676145600,819,974,35,321,315,3663,824,543,56,1342
1676149200,819,985,35,321,321,3674,829,604,57,1349
1676152800,820,981,35,323,316,3668,824,555,56,1352
1676156400,822,1008,30,325,322,3674,824,596,51,1354
1676160000,827,1014,30,339,319,3674,830,632,44,1368
1676163600,818,991,34,326,325,3610,837,642,58,1340
1676167200,814,1028,35,325,321,3641,824,816,66,1371
1676170800,826,1043,30,321,319,3644,830,788,47,1358
1676174400,820,1048,34,324,321,3660,824,694,55,1345
1676178000,814,957,35,326,321,3669,829,551,72,1327
1676181600,826,960,30,323,325,3667,829,542,66,1345
1676185200,822,995,33,317,319,3658,830,588,48,1391
1676188800,827,998,30,321,485,3698,830,580,47,1381
1676192400,824,989,34,328,653,3678,828,671,61,1335
1676196000,818,980,35,324,662,3675,829,587,56,1352
1676199600,814,1003,30,328,644,3689,828,589,57,1354
1676203200,820,1055,33,326,659,3678,832,729,63,1350
1676206800,827,1017,34,323,655,3667,828,779,55,1356
1676210400,814,1029,35,325,623,3662,829,695,62,1327
1676214000,756,987,35,325,648,3684,829,550,53,1348
1676217600,818,970,30,320,670,3667,828,575,57,1356
1676221200,829,976,30,323,293,3688,824,555,50,1338
1676224800,818,980,30,319,85,3661,824,558,65,1358
1676228400,822,985,34,319,80,3685,829,568,51,1341
1676232000,826,985,33,314,82,3688,829,548,50,1352
1676235600,820,972,34,322,90,3672,837,546,54,1357
1676239200,823,1011,35,319,80,3660,824,640,56,1335
1676242800,818,999,33,324,81,3658,836,654,46,1358
1676246400,827,1014,30,325,85,3673,829,727,51,1349
1676250000,814,1074,30,321,84,3684,824,611,48,1328
1676253600,807,1160,35,316,257,3630,819,567,71,1300
1676257200,822,1099,30,332,317,3631,836,593,49,1331
1676260800,814,1044,30,329,322,3683,832,613,65,1339
1676264400,819,1222,22,322,321,3687,824,740,56,1319
1676268000,814,1121,34,320,327,3705,828,547,61,1301
1676271600,826,1177,31,318,325,3695,824,561,45,1352
1676275200,822,1053,39,147,238,3686,837,564,25,1322
1676278800,816,1108,34,0,87,3677,824,535,0,1309
1676282400,827,1012,30,0,79,3710,837,539,0,1302
1676286000,819,995,28,0,80,3730,829,562,0,1303
1676289600,819,996,34,0,88,3730,832,580,0,1324
1676293200,818,992,28,0,88,3733,837,655,0,1354
1676296800,819,991,34,0,80,3675,836,559,88,1293
1676300400,820,969,28,0,84,3676,832,556,50,1327
,,,,,,,,,,
###Top 10 Users by Visited Categories###,,,,,,,,,,
User (or IP),Category,,% of Subtotal,,,,,,,
10.8.8.169,Search Engines and Portals,602262,98.18%,,,,,,,
10.8.8.169,Information Technology,11147,1.82%,,,,,,,
user1 ,Information Technology,200583,96.10%,,,,,,,
user1 ,Information and Computer Security,5429,2.60%,,,,,,,
user1 ,Potentially Unwanted Program,2377,1.14%,,,,,,,
user1 ,Search Engines and Portals,172,0.08%,,,,,,,
user1 ,Advertising,52,0.02%,,,,,,,
10.8.7.2,Information Technology,110572,69.69%,,,,,,,
10.8.7.2,Content Servers,40474,25.51%,,,,,,,
10.8.7.2,Proxy Avoidance,4887,3.08%,,,,,,,
10.8.7.2,Business,510,0.32%,,,,,,,
10.8.7.2,File Sharing and Storage,446,0.28%,,,,,,,
10.8.8.50,Information Technology,87190,92.11%,,,,,,,
10.8.8.50,Proxy Avoidance,2368,2.50%,,,,,,,
10.8.8.50,Information and Computer Security,1347,1.42%,,,,,,,
10.8.8.50,File Sharing and Storage,700,0.74%,,,,,,,
10.8.8.50,Advertising,486,0.51%,,,,,,,
10.8.8.245,Information Technology,52310,90.80%,,,,,,,
10.8.8.245,Information and Computer Security,5297,9.20%,,,,,,,
10.8.168.10,Information Technology,50759,90.54%,,,,,,,
10.8.168.10,Information and Computer Security,5303,9.46%,,,,,,,
10.8.8.44,Information Technology,38389,94.92%,,,,,,,
10.8.8.44,Information and Computer Security,2053,5.08%,,,,,,,
10.8.8.116,Information Technology,35800,91.99%,,,,,,,
10.8.8.116,File Sharing and Storage,2781,7.15%,,,,,,,
10.8.8.116,Advertising,82,0.21%,,,,,,,
10.8.8.116,Streaming Media and Download,71,0.18%,,,,,,,
10.8.8.116,Information and Computer Security,61,0.16%,,,,,,,
10.8.123.16,Information Technology,22796,63.67%,,,,,,,
10.8.123.16,Business,3122,8.72%,,,,,,,
10.8.123.16,Search Engines and Portals,2236,6.25%,,,,,,,
10.8.123.16,Advertising,1259,3.52%,,,,,,,
10.8.123.16,File Sharing and Storage,1194,3.33%,,,,,,,
10.8.123.20,Information Technology,23280,65.37%,,,,,,,
10.8.123.20,Advertising,3134,8.80%,,,,,,,
10.8.123.20,File Sharing and Storage,1451,4.07%,,,,,,,
10.8.123.20,Finance and Banking,1215,3.41%,,,,,,,
10.8.123.20,Web Analytics,1182,3.32%,,,,,,,
,,,,,,,,,,
###Top 10 Visited Categories by Sites###,,,,,,,,,,
Categories,Website,,% of Subtotal,,,,,,,
Information Technology,exch-cas.fortinet.com,124383,8.10%,,,,,,,
Information Technology,fsavm.fortinet.net,110959,7.22%,,,,,,,
Information Technology,turbo-54v3hxoe.edge.prod.fortisase.com,96994,6.31%,,,,,,,
Information Technology,fortinet-ca2.fortinet.com,85412,5.56%,,,,,,,
Information Technology,teams.microsoft.com,46485,3.03%,,,,,,,
Search Engines and Portals,www.google.com,625751,90.23%,,,,,,,
Search Engines and Portals,www.bing.com,7669,1.11%,,,,,,,
Search Engines and Portals,accounts.google.com,5941,0.86%,,,,,,,
Search Engines and Portals,login.live.com,4352,0.63%,,,,,,,
Search Engines and Portals,google.com,3639,0.52%,,,,,,,
Content Servers,vpc.aliyuncs.com,20140,32.23%,,,,,,,
Content Servers,cs.aliyuncs.com,10070,16.11%,,,,,,,
Content Servers,ecs.cn-hongkong.aliyuncs.com,10070,16.11%,,,,,,,
Content Servers,apidata.googleusercontent.com,2126,3.40%,,,,,,,
Content Servers,statics.teams.cdn.office.net,1067,1.71%,,,,,,,
Business,api-su2.highspot.com,25318,43.94%,,,,,,,
Business,fortinet.highspot.com,3035,5.27%,,,,,,,
Business,www.linkedin.com,1763,3.06%,,,,,,,
Business,fortisiem.demo.etlab.net,1606,2.79%,,,,,,,
Business,waiting-room-api.ztore.com,1299,2.25%,,,,,,,
File Sharing and Storage,gateway.icloud.com,22649,43.84%,,,,,,,
File Sharing and Storage,d.docs.live.net,6178,11.96%,,,,,,,
File Sharing and Storage,metrics.icloud.com,1329,2.57%,,,,,,,
File Sharing and Storage,oneclient.sfx.ms,998,1.93%,,,,,,,
File Sharing and Storage,docs.live.net,850,1.65%,,,,,,,
Advertising,googleads.g.doubleclick.net,3352,8.04%,,,,,,,
Advertising,c.go-mpulse.net,2381,5.71%,,,,,,,
Advertising,adservice.google.com,2083,4.99%,,,,,,,
Advertising,pagead2.googlesyndication.com,1922,4.61%,,,,,,,
Advertising,ib.adnxs.com,1915,4.59%,,,,,,,
Proxy Avoidance,mask-h2.icloud.com,32176,91.22%,,,,,,,
Proxy Avoidance,mask.icloud.com,803,2.28%,,,,,,,
Proxy Avoidance,api.uymgg1.com,760,2.15%,,,,,,,
Proxy Avoidance,doh.dns.apple.com,755,2.14%,,,,,,,
Proxy Avoidance,api.surfshark.com,355,1.01%,,,,,,,
Social Networking,graph.facebook.com,6622,19.70%,,,,,,,
Social Networking,www.facebook.com,3958,11.78%,,,,,,,
Social Networking,edge-mqtt.facebook.com,2815,8.38%,,,,,,,
Social Networking,i.instagram.com,2768,8.24%,,,,,,,
Social Networking,web.facebook.com,2039,6.07%,,,,,,,
Web-based Applications,roaming.officeapps.live.com,9247,27.53%,,,,,,,
Web-based Applications,nexusrules.officeapps.live.com,5004,14.90%,,,,,,,
Web-based Applications,ocws.officeapps.live.com,3594,10.70%,,,,,,,
Web-based Applications,nexus.officeapps.live.com,3164,9.42%,,,,,,,
Web-based Applications,cdn.odc.officeapps.live.com,1535,4.57%,,,,,,,
Information and Computer Security,ocsp.digicert.com,18790,60.68%,,,,,,,
Information and Computer Security,ocsp.pki.goog,2488,8.03%,,,,,,,
Information and Computer Security,www.virustotal.com,2060,6.65%,,,,,,,
Information and Computer Security,x1.c.lencr.org,1423,4.60%,,,,,,,
Information and Computer Security,fortinet-ca2.fortinet.com,1143,3.69%,,,,,,,
,,,,,,,,,,
###Top 10 Online Users by Browsing Time###,,,,,,,,,,
User,Browsing Time,,,,,,,,,
10.8.8.169,1244008,,,,,,,,,
user1 ,826329,,,,,,,,,
10.8.7.2,671168,,,,,,,,,
10.8.9.121,569170,,,,,,,,,
10.8.8.220,555553,,,,,,,,,
10.8.8.50,507062,,,,,,,,,
10.8.8.183,471799,,,,,,,,,
10.8.123.2,458084,,,,,,,,,
10.8.8.75,392330,,,,,,,,,
10.8.168.201,390633,,,,,,,,,
,,,,,,,,,,
###Top 10 Online Users by Categories###,,,,,,,,,,
User (or IP),Category,,% of Subtotal,,,,,,,
10.8.8.169,Search Engines and Portals,604740,48.61%,,,,,,,
10.8.8.169,Information Technology,574907,46.21%,,,,,,,
user1 ,Information Technology,592728,71.73%,,,,,,,
user1 ,Potentially Unwanted Program,16904,2.05%,,,,,,,
user1 ,Information and Computer Security,13766,1.67%,,,,,,,
user1 ,Search Engines and Portals,1543,0.19%,,,,,,,
user1 ,Business,913,0.11%,,,,,,,
10.8.7.2,Information Technology,210925,31.43%,,,,,,,
10.8.7.2,Business,1143,0.17%,,,,,,,
10.8.7.2,Search Engines and Portals,461,0.07%,,,,,,,
10.8.7.2,Web-based Email,386,0.06%,,,,,,,
10.8.7.2,Shopping,346,0.05%,,,,,,,
10.8.9.121,Information Technology,244789,43.01%,,,,,,,
10.8.9.121,Search Engines and Portals,142347,25.01%,,,,,,,
10.8.9.121,Web-based Applications,51430,9.04%,,,,,,,
10.8.9.121,Instant Messaging,34771,6.11%,,,,,,,
10.8.9.121,Business,18714,3.29%,,,,,,,
10.8.8.220,Information Technology,116033,20.89%,,,,,,,
10.8.8.220,Search Engines and Portals,8076,1.45%,,,,,,,
10.8.8.220,Information and Computer Security,1578,0.28%,,,,,,,
10.8.8.220,Business,517,0.09%,,,,,,,
10.8.8.220,Web Analytics,507,0.09%,,,,,,,
10.8.8.50,Information Technology,379156,74.78%,,,,,,,
10.8.8.50,Search Engines and Portals,1711,0.34%,,,,,,,
10.8.8.50,Information and Computer Security,1432,0.28%,,,,,,,
10.8.8.50,Business,1272,0.25%,,,,,,,
10.8.8.50,Shopping,475,0.09%,,,,,,,
10.8.8.183,Information Technology,245497,52.03%,,,,,,,
10.8.8.183,Search Engines and Portals,13047,2.77%,,,,,,,
10.8.8.183,Web Analytics,3677,0.78%,,,,,,,
10.8.8.183,Information and Computer Security,3121,0.66%,,,,,,,
10.8.8.183,Business,1783,0.38%,,,,,,,
10.8.123.2,Information Technology,104093,22.72%,,,,,,,
10.8.123.2,Search Engines and Portals,92918,20.28%,,,,,,,
10.8.123.2,Web-based Applications,60257,13.15%,,,,,,,
10.8.123.2,Finance and Banking,52623,11.49%,,,,,,,
10.8.123.2,Social Networking,31860,6.96%,,,,,,,
10.8.8.75,Information Technology,348319,88.78%,,,,,,,
10.8.8.75,Search Engines and Portals,11574,2.95%,,,,,,,
10.8.8.75,Information and Computer Security,10590,2.70%,,,,,,,
10.8.8.75,Reference,9977,2.54%,,,,,,,
10.8.8.75,Business,1359,0.35%,,,,,,,
10.8.168.201,Information Technology,213591,54.68%,,,,,,,
10.8.168.201,Web-based Email,100009,25.60%,,,,,,,
10.8.168.201,Search Engines and Portals,71627,18.34%,,,,,,,
10.8.168.201,Information and Computer Security,3677,0.94%,,,,,,,
10.8.168.201,Web Analytics,720,0.18%,,,,,,,
,,,,,,,,,,
###Top 10 Categories by Browsing Time###,,,,,,,,,,
Categories,Browsing Time,% of Total,,,,,,,,
Information Technology,167:59:59,21.41,,,,,,,,
Search Engines and Portals,167:59:11,21.4,,,,,,,,
Web-based Applications,69:10:43,8.81,,,,,,,,
Web-based Email,65:18:06,8.32,,,,,,,,
Information and Computer Security,59:36:01,7.59,,,,,,,,
Social Networking,55:18:24,7.05,,,,,,,,
Business,54:54:02,7,,,,,,,,
Instant Messaging,52:32:56,6.7,,,,,,,,
Web Analytics,50:50:19,6.48,,,,,,,,
Web Chat,41:11:07,5.25,,,,,,,,
,,,,,,,,,,
###Top 20 Sites by Browsing Time###,,,,,,,,,,
ID,Sites,Category,Browsing Time (hh:mm:ss),,,,,,,
1,www.google.com,Search Engines and Portals,167:59:11,,,,,,,
2,fortiguard.com,Information Technology,159:56:52,,,,,,,
3,dns.google,Information Technology,149:59:22,,,,,,,
4,turbo-54v3hxoe.edge.prod.fortisase.com,Information Technology,147:48:50,,,,,,,
5,fortinet-ca2.fortinet.com,Information and Computer Security,127:04:02,,,,,,,
6,array806.prod.do.dsp.mp.microsoft.com,Information Technology,122:48:08,,,,,,,
7,safebrowsing.googleapis.com,Information Technology,79:53:26,,,,,,,
8,exch-cas.fortinet.com,Information Technology,78:40:27,,,,,,,
9,clientservices.googleapis.com,Information Technology,75:46:43,,,,,,,
10,ctldl.windowsupdate.com,Information Technology,74:35:27,,,,,,,
11,teams.microsoft.com,Information Technology,68:58:24,,,,,,,
12,173.243.138.98,Information Technology,67:58:13,,,,,,,
13,noam.presence.teams.microsoft.com,Information Technology,61:50:07,,,,,,,
14,edge.microsoft.com,Information Technology,58:19:36,,,,,,,
15,www.bing.com,Search Engines and Portals,57:46:42,,,,,,,
16,self.events.data.microsoft.com,Information Technology,56:40:36,,,,,,,
17,ssl.gstatic.com,Information Technology,54:43:00,,,,,,,
18,contile.services.mozilla.com,Information Technology,54:21:09,,,,,,,
19,fsavm.fortinet.net,Information Technology,53:54:18,,,,,,,
20,mobile.events.data.microsoft.com,Information Technology,53:13:18,,,,,,,
,,,,,,,,,,
###Top 10 Bandwidth Users###,,,,,,,,,,
User,Bytes,% of Total,,,,,,,,
10.8.8.173,45.01 GB,22.49,,,,,,,,
10.8.8.139,26.62 GB,13.3,,,,,,,,
10.8.123.6,22.98 GB,11.48,,,,,,,,
10.8.8.128,21.38 GB,10.69,,,,,,,,
10.8.8.97,20.51 GB,10.25,,,,,,,,
10.8.9.123,17.32 GB,8.65,,,,,,,,
10.8.123.16,13.91 GB,6.95,,,,,,,,
10.8.8.75,11.21 GB,5.6,,,,,,,,
10.8.9.121,10.98 GB,5.49,,,,,,,,
10.8.8.169,10.22 GB,5.11,,,,,,,,
,,,,,,,,,,
###Top 10 Bandwidth Users over Time###,,,,,,,,,,
(null),10.8.123.16,10.8.123.6,10.8.8.128,10.8.8.139,10.8.8.169,10.8.8.173,10.8.8.75,10.8.8.97,10.8.9.121,10.8.9.123
1675699200,0,0,0,0,64446598,266287495,66077339,54597937,0,0
1675702800,0,0,0,0,64467224,502352202,124053111,187498735,0,0
1675706400,0,0,0,0,64377893,180520074,59429650,8343432,0,0
1675710000,0,0,0,0,64674533,619337570,37893923,32606109,0,0
1675713600,0,0,0,0,64338325,263913572,37364109,33716298,0,0
1675717200,0,0,0,0,64411812,256430580,25876196,60129126,0,0
1675720800,0,0,0,0,64703865,233890377,164984187,357126923,0,0
1675724400,0,0,0,28715954,64248417,293580795,42159498,47765017,0,0
1675728000,309285512,104308081,149930769,136321965,66197664,375994023,27691673,46244571,0,0
1675731600,349806388,290961493,77915058,10086486,67917854,316826452,27463349,176192127,0,0
1675735200,1046612502,315482255,75751614,3242652,67100298,258077504,32915646,850801610,1031520,2341876
1675738800,3860718460,443998978,66412135,9438936,67051298,214608140,25106264,1707663076,1082035,219563160
1675742400,735212350,97710360,2455600211,2461868226,67269492,294931140,65096087,199966697,52430966,698218
1675746000,4477879,105206043,14803067,935741,68106906,248026683,25231122,1352126504,3684794,1258607
1675749600,406607688,594409034,164301181,52410883,67840052,222038729,27172007,213397945,6619689,2254999
1675753200,148581172,204757798,7354994,15691418,68755804,289498241,54225429,687473377,7463166,2342671
1675756800,462629,459522773,40491,37594710,68280517,186055160,98900628,3635554139,5042166150,1886938
1675760400,0,719625114,0,32747242,68070624,536733867,151785160,1796983947,534171,4152449
1675764000,0,4011842,0,1511025,68402345,258666929,32819631,164173039,492866,2842452
1675767600,0,0,0,0,67866399,254994553,156056490,698524125,0,421378
1675771200,0,0,0,0,67645802,78753629,54437185,70172606,0,0
1675774800,0,0,0,0,67635164,173597742,29630002,42044546,0,0
1675778400,0,0,0,0,67886021,141122263,25098688,50317991,0,0
1675782000,0,0,0,0,67887646,253559376,90684205,225351376,0,0
1675785600,0,0,0,0,65826284,568236643,79426627,173253319,0,0
1675789200,0,0,0,0,64559587,346413280,131894884,195720793,0,0
1675792800,0,0,0,0,65052405,47392411,61671488,21492766,0,0
1675796400,0,0,0,0,65169487,1672437676,35857664,52153122,0,0
1675800000,0,0,0,0,65116171,235475849,28597988,70373632,0,0
1675803600,0,0,0,0,65022401,172174481,41973842,149117352,0,0
1675807200,0,0,0,0,65217940,402093117,131797298,152026390,0,0
1675810800,0,0,0,0,65440750,239204653,103076736,252264910,0,0
1675814400,107390958,551121571,71226551,0,65921832,341227064,91564555,1204695775,0,0
1675818000,563353957,218895495,173197782,0,65482734,423938794,31845436,316402479,1757482841,16687874
1675821600,1369449727,133335984,1362846422,0,65519863,101223799,85307604,708279296,346736351,89897363
1675825200,120803102,34897326,23738771,0,64795057,398686226,118041801,714329417,43159774,27135720
1675828800,101419956,43560952,828796968,0,65232723,292744813,88466276,90320499,27050012,420302855
1675832400,44102519,176064245,13199632,0,64787424,240320554,27978792,23450506,9446985,842931454
1675836000,915628426,973858736,16194875,0,65209195,240131078,35356790,4117104,87897912,70014668
1675839600,101918265,598567867,14476,0,65499355,236971016,24288138,38998670,58146019,233997660
1675843200,72216849,829838528,0,0,65439855,326032214,39618596,31010966,400685758,42853377
1675846800,213441988,203635867,5708700,0,65833373,238849037,151712759,64461005,239973390,56787747
1675850400,86528269,0,8635375871,0,65609131,327810233,28112060,22758516,37998982,87183830
1675854000,337249,0,4028681,0,65724339,237150054,44033042,38507631,3852572,258991
1675857600,0,0,3983588,0,65201597,33127121,31336280,3944380,68952,0
1675861200,0,0,3983855,0,64732221,195088297,35979237,37817848,108282,0
1675864800,0,0,3989476,0,65101064,151506368,57122744,42287615,45537648,0
1675868400,0,0,3983777,0,65460951,270727057,28960938,67753119,5138039,0
1675872000,0,0,4035757,0,65697933,374397537,96027500,51896099,7678429,0
1675875600,0,0,4000919,0,65446759,476167445,100960069,39323531,18224152,0
1675879200,0,0,4026499,0,64851576,168747725,51934966,9168150,1967817,0
1675882800,0,0,4021416,0,64809338,517022378,25004863,38246581,98025,0
1675886400,0,0,3978530,0,64708939,360058980,33991183,45314230,262770,0
1675890000,0,0,3981808,0,64881254,2375500426,112613818,95270249,75143,0
1675893600,0,0,4040188,0,65090519,625253460,83853157,33453489,16258588,0
1675897200,0,0,3956640,0,64968396,247062641,287612127,3855104,2402411,0
1675900800,0,2137557086,3983884,0,64980565,560168789,59884283,25771720,6993515,0
1675904400,83773783,229808714,3994958,1706688,64994846,372230335,29424345,481752243,6214828,251002530
1675908000,1101688017,55523825,242966,189421813,64833223,154557179,89229443,376930535,139753474,3835112
1675911600,891922231,54533363,0,110479527,64172130,394627806,121302175,7491235,61643367,4015509
1675915200,138063424,232144526,0,7911720,65530686,295273147,96573068,80553703,313872870,2561163
1675918800,5320402,213888864,0,4462885,64863476,243494159,33878123,57646135,10717151,0
1675922400,71407499,642213411,2621116,146308276,65009872,251558985,156742483,4837707,397504136,0
1675926000,17010784,732509270,3972996,46773115,65044651,242837193,39130655,56840855,72945958,0
1675929600,130407512,822868114,3980993,123504396,64995368,410697342,157762004,58818577,63849605,0
1675933200,39521011,162471080,3967753,18318929071,64896049,247944837,30823337,51737163,185360000,0
1675936800,64665,4172,3974909,23219,65061127,244972244,30057394,4497785,7016443,0
1675940400,0,0,3970630,0,64877525,230318037,40903348,38748257,402556,0
1675944000,0,0,3957903,0,64861719,156423067,76555421,4298218,29224,0
1675947600,0,0,3979029,0,64995097,141572044,36471669,38713651,87289,0
1675951200,0,0,3945081,0,65082301,340985648,29671752,9435586,81244556,0
1675954800,0,0,3975136,0,64976640,103895839,87250499,75045798,2697093,0
1675958400,0,0,3973563,0,64988903,414819369,115983483,52817949,3617293,0
1675962000,0,0,3969016,0,64942177,396620176,77513325,22479239,12001552,0
1675965600,0,0,3969112,0,65067259,356090887,50232628,8024750,11582371,0
1675969200,0,0,3988651,0,64976589,249184852,33720761,60013083,844946,0
1675972800,0,0,3961624,0,65042571,228660037,50075277,41569466,3368509,0
1675976400,0,0,3977545,0,65005222,295407591,161416240,74483698,9653507,0
1675980000,0,0,3965204,0,65227961,244985764,24918544,3960969,4323258,0
1675983600,0,0,3960561,0,64987612,244461794,33007886,65089148,1190908,0
1675987200,0,157201864,3957307,0,64976065,297902976,32371261,3667099,101735,0
1675990800,41968865,601227749,3941604,2213642806,64961117,337013772,40554689,39223624,8877792,0
1675994400,3121640,217918164,3943273,1628861322,64193138,90966616,162745534,78137467,13471406,0
1675998000,2950361,0,3949093,12585823,63917384,428079898,63396127,30849461,303844,0
1676001600,3184816,0,4301811,24473612,65740307,305537135,97685960,118779360,0,22219
1676005200,10249710,757029112,8634152253,18607348,65830388,241057828,36020151,4099881,57919883,13461
1676008800,31087968,535483202,4008223,6906628,65508588,246699218,31187236,38792670,26186793,479791
1676012400,40761696,19098958,4028072,12174,65853385,225426594,41410245,5283594,450294,6159
1676016000,320526910,35408676,8977750,0,65563665,363707083,125102845,65817584,8109007,0
1676019600,18586844,890720664,5449463,0,65496825,294557774,80394688,59800074,65960024,0
1676023200,9882255,0,141496,0,65145636,251715059,29429588,38906004,2656599,0
1676026800,36015,0,138452,0,65132352,251504264,33032561,39920100,9735083,0
1676030400,0,0,187545,0,65009080,201629573,43652489,13166218,3935841,0
1676034000,0,0,141991,0,65088520,128545971,28807924,73957221,2244921,0
1676037600,0,0,141536,0,65203518,275214774,25344927,6416189,5113402,0
1676041200,0,0,127359,0,65271527,305743563,50710070,23435953,1911035,0
1676044800,0,0,138963,0,65094515,152767852,148607774,79011451,74733,0
1676048400,0,0,150270,0,65019633,534512178,76044501,30022946,20705201,0
1676052000,0,0,199611,0,65014566,52192900,88596272,44024704,4103811,0
1676055600,0,0,141496,0,65208162,169735814,124606383,9516774,6861166,0
1676059200,0,0,138452,0,65048152,349292515,90132730,104664109,966880,0
1676062800,0,0,198598,0,65065323,313139692,155741063,144365121,117327,0
1676066400,0,0,198932,0,65016654,510400863,249623946,38869502,76598,0
1676070000,0,0,138951,0,65195388,209846241,33592605,39283627,46099428,0
1676073600,0,0,119230,0,64983579,328118485,40293147,33241939,89821,0
1676077200,0,0,194785,0,64941286,325084339,75751678,22931441,107077,0
1676080800,0,0,138452,0,64273944,214133435,122589552,65080644,134875,0
1676084400,0,0,140387,0,64863358,319278053,70089841,4256238,17808411,0
1676088000,0,0,195598,0,64285046,295570975,81633557,107661799,15540699,0
1676091600,0,0,138951,0,64534813,248317262,100671984,42143340,7873043,0
1676095200,0,0,198638,0,65024342,234600186,61395525,6829837,431792,0
1676098800,0,0,144456,0,64874949,244300272,33375173,23619832,7147559,0
1676102400,0,0,138412,0,64871574,191052068,105070922,43837552,72997,0
